Gas1,gas2,gas3,gas4,gas5
0,78,0,20,2
2,78,0,18,2
0,78,0,18,4
4,78,0,16,2
2,78,0,16,4
0,78,0,16,6
6,78,0,14,2
4,78,0,14,4
2,78,0,14,6
0,78,0,14,8
8,78,0,12,2
6,78,0,12,4
4,78,0,12,6
2,78,0,12,8
0,78,0,12,10
10,78,0,10,2
8,78,0,10,4
6,78,0,10,6
4,78,0,10,8
2,78,0,10,10
0,78,0,10,12
12,78,0,8,2
10,78,0,8,4
8,78,0,8,6
6,78,0,8,8
4,78,0,8,10
2,78,0,8,12
0,78,0,8,14
14,78,0,6,2
12,78,0,6,4
10,78,0,6,6
8,78,0,6,8
6,78,0,6,10
4,78,0,6,12
2,78,0,6,14
0,78,0,6,16
16,78,0,4,2
14,78,0,4,4
12,78,0,4,6
10,78,0,4,8
8,78,0,4,10
6,78,0,4,12
4,78,0,4,14
2,78,0,4,16
0,78,0,4,18
18,78,0,2,2
16,78,0,2,4
14,78,0,2,6
12,78,0,2,8
10,78,0,2,10
8,78,0,2,12
